name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Ryan Thomas,The Tank Engine,20,8,0,182.88,,Orthodox,11/5/1984,39,2.01,36,5.59,33,2.2
Ryan Hall,The Wizard,9,2,0,177.8,177.8,Southpaw,2/22/1985,39,2.38,50,0.22,9,2.2
Dustin Kimura,The Diamond,11,3,0,170.18,180.34,Orthodox,5/21/1989,35,1.33,21,0.93,37,2.2
Alex Gilpin,,11,1,0,170.18,,Orthodox,3/26/1992,32,6.8,54,2.17,25,2.2
Josh Grispi,The Fluke,14,5,0,180.34,187.96,Orthodox,10/14/1988,36,1.44,41,1.97,36,2.2
Anthony Torres,The Crush,5,3,0,172.72,,Orthodox,7/31/1978,46,3.54,48,0,0,2.2
Danny Henry,The Hatchet,12,4,0,182.88,185.42,Orthodox,7/17/1988,36,5.2,51,0.74,33,2.2
Hidehiko Yoshida,,6,8,1,180.34,,Orthodox,9/3/1969,55,1.05,36,1.09,33,2.2
Joe Stevenson,Daddy,33,16,0,170.18,177.8,Orthodox,6/15/1982,42,2.05,44,2.75,44,2.2
Everett Cummings,,12,0,0,,,,,,0.43,60,0,0,2.2
Jose Landi-Jons,Pele,29,16,0,180.34,,Orthodox,9/9/1973,51,0.99,40,2.2,80,2.2
Wilson Gouveia,,14,8,0,185.42,193.04,Orthodox,10/3/1978,46,3.02,39,0.9,66,2.2
Chris Price,The Exorcist,19,4,0,187.96,,Southpaw,11/9/1982,41,1.44,66,0,0,2.2
Fredson Paixao,,10,5,0,167.64,167.64,Orthodox,5/13/1979,45,1.71,54,0.62,11,2.2
Jake Hadley,White Kong,10,2,0,170.18,177.8,Southpaw,8/3/1996,28,3.42,44,0.32,25,2.2
Chase Hooper,The Dream,13,3,1,185.42,187.96,Southpaw,9/13/1999,25,4.86,51,1.42,22,2.2
Daniel Gracie,,5,4,1,187.96,,Orthodox,,,1.9,38,0.36,100,2.1
Masakazu Imanari,,36,16,2,162.56,,Southpaw,2/10/1976,48,0.55,30,0,0,2.1
Andrew Holbrook,,12,3,0,180.34,177.8,Southpaw,2/6/1986,38,2.2,49,0.85,18,2.1
Mike Cook,,13,13,0,185.42,,Orthodox,,,1.72,49,1.03,33,2.1
Polyana Viana,Dama de Ferro,13,6,0,165.1,170.18,Orthodox,6/14/1992,32,3.19,41,0.93,33,2.1
Logan Clark,,18,6,0,187.96,,Orthodox,2/16/1985,39,2.2,54,0.31,100,2.1
Nate Loughran,,11,2,0,187.96,,Orthodox,7/28/1980,44,1.81,40,0,0,2.1
Tim McKenzie,,14,9,0,182.88,187.96,Orthodox,7/21/1982,42,1.37,54,0,0,2.1
Mackens Semerzier,Da Menace,8,4,0,175.26,182.88,Orthodox,11/3/1980,43,2.91,45,2.14,50,2.1
Dennis Hallman,Superman,53,20,2,175.26,182.88,Orthodox,12/2/1975,48,1.12,44,1.79,30,2.1
Chris Brennan,The Westside Strangler,21,13,1,172.72,,Orthodox,10/12/1971,53,0.6,40,0,0,2.1
Josh Sampo,The Gremlin,11,5,0,162.56,162.56,Orthodox,7/24/1984,40,1.99,36,1.06,33,2.1
Katsuhisa Fujii,Shamoji,9,18,1,182.88,,Orthodox,8/15/1972,52,4,50,2.14,25,2.1
Brooke Mayo,The Bully,0,1,0,170.18,,,,,1.92,34,3.2,60,2.1
Satoru Kitaoka,,40,14,9,167.64,,,,,0.68,33,0.62,10,2.1
Daermisi Zhawupasi,,7,1,0,172.72,172.72,Switch,3/13/2000,24,1.24,51,6.19,75,2.1
Jeremiah Metcalf,,13,7,0,185.42,,Orthodox,,,1.74,59,4.02,66,2
Harry Hunsucker,The Hurricane,7,6,0,187.96,190.5,Orthodox,1/3/1989,35,3.54,52,0,0,2
Charles Bennett,Krazy Horse,30,33,2,172.72,,Orthodox,11/23/1979,44,1.39,39,2.02,100,2
Kevin Syler,El Nino Bala,10,1,0,175.26,180.34,Switch,7/29/1993,31,5.6,69,1,40,2
Mike Zichelle,,8,4,0,,,,,,0.87,35,0,0,2
Dave Galera,Scarecrow,5,1,0,180.34,,Orthodox,1/12/1978,46,1.67,69,0,0,2
Kaik Brito,,16,5,0,180.34,182.88,Orthodox,3/26/1997,27,2.8,38,0,0,2
Josh Thornburg,,8,8,0,182.88,,,,,1.2,50,2,66,2
Chad Reiner,The Grinder,33,18,0,180.34,,Orthodox,6/29/1981,43,0.53,20,0.99,33,2
Jacob Volkmann,Christmas,19,7,0,175.26,180.34,Southpaw,9/5/1980,44,1.19,34,3.19,48,2
Brock Larson,,42,10,0,180.34,180.34,Southpaw,8/23/1977,47,1.39,46,2.67,34,2
Christian Lohsen,Hollywood,4,2,0,187.96,195.58,Southpaw,1/24/1995,29,5.27,49,0,0,2
Brent Primus,,8,0,0,177.8,,,,,1.73,39,5,38,2
Nick Serra,The Mad Monkey,7,3,0,175.26,,Orthodox,3/27/1978,46,0,0,1,10,2
Chris Holdsworth,,6,0,0,180.34,,,,,1.85,29,3.38,62,2
David Mitchell,Daudi,22,7,0,182.88,190.5,Orthodox,10/24/1979,45,1.74,32,0.66,50,2
John Halverson,The Hurricane,16,8,0,175.26,,Southpaw,9/8/1972,52,2.94,43,0,0,2
Sean Holden,,5,2,0,177.8,,,,,2.4,59,5,83,2
Eric Wray,,5,1,0,182.88,,Orthodox,,,1.76,48,4.07,66,2
Kevin Haley,The North Woods Nightmare,6,4,0,187.96,,,,,0.87,59,3,100,2
Mariusz Ksiazkiewicz,The Iron Pol,8,1,0,190.5,190.5,Southpaw,10/4/1989,35,0.93,45,4,100,2
Young Sam Jung,,4,8,0,172.72,,Orthodox,10/27/1985,39,0.53,9,0,0,2
Luis Rodriguez,Lazy Boy,11,2,0,167.64,165.1,Orthodox,5/7/1999,25,1.27,37,2,50,2
Jarrod Kwitty,,2,2,0,172.72,,,,,0.53,50,8,50,2
Jimmy Crute,,12,4,1,187.96,187.96,Orthodox,3/4/1996,28,3.68,54,4.84,57,2
Joe Lauzon,,28,16,0,177.8,180.34,Orthodox,5/22/1984,40,2.84,39,2.39,45,2
Tomoya Miyashita,,17,9,7,170.18,,Southpaw,,,1.67,65,4,80,2
Jack Cartwright,,10,1,0,175.26,172.72,Orthodox,5/26/1994,30,0.8,38,6,66,2
Jafel Filho,Pastor,15,3,0,170.18,172.72,Orthodox,5/5/1993,31,2,37,1.53,27,2
Mark Scanlon,,9,2,0,175.26,,Orthodox,,,2.2,35,3,75,2
Eric Esch,Butterbean,15,10,1,180.34,,Orthodox,8/3/1968,56,3.07,71,0,0,2
Chris Tickle,BadBoy,9,9,0,175.26,,,,,1.07,40,1,25,2
Ivana Petrovic,,6,1,0,172.72,177.8,Southpaw,6/11/1994,30,1.47,35,2,33,2
Kazuki Okubo,,7,9,0,180.34,,Orthodox,,,1.53,38,0.51,25,2
Abdul-Kerim Edilov,,17,4,0,187.96,,Orthodox,11/25/1991,32,10.22,61,3.98,100,2
Eddy Ellis,Fast,21,16,1,175.26,,Orthodox,,,3.4,69,4,66,2
Jason MacDonald,The Athlete,25,16,0,190.5,203.2,Orthodox,6/3/1975,49,1.55,52,1.43,16,2
Micah Miller,Maverick,20,8,0,182.88,,Orthodox,2/14/1987,37,1.33,33,0.98,37,2
Allan Begosso,Mini,7,2,1,165.1,167.64,Orthodox,11/23/1995,28,1.8,40,0,0,2
Yuma Horiuchi,Ichiban,9,5,0,167.64,170.18,Switch,9/22/1997,27,3.73,30,2,16,2
John Gunderson,Quick Guns,35,16,2,175.26,175.26,Orthodox,1/5/1979,45,1.04,27,1.67,33,2
Chris Haseman,The Hammer,20,17,0,180.34,,Orthodox,6/2/1969,55,0.93,70,0,0,2
Josh Smith,,9,8,0,182.88,,Orthodox,7/2/1982,42,0.73,28,0,0,2
Martin Kampmann,The Hitman,20,7,0,182.88,182.88,Orthodox,4/17/1982,42,3.22,42,1.86,41,2
Frank Mir,,18,11,0,190.5,200.66,Southpaw,5/24/1979,45,2.18,47,2.02,40,2
Mitch Gagnon,,12,5,0,165.1,165.1,Southpaw,10/10/1984,40,2.76,46,1.16,25,1.9
Lucio Linhares,,19,8,0,187.96,,Orthodox,12/8/1973,50,0.99,22,1.86,50,1.9
Roger Gracie,,8,2,0,193.04,200.66,Orthodox,9/26/1981,43,1.78,35,1.87,53,1.9
Saidyokub Kakhramonov,,10,3,0,172.72,175.26,Orthodox,11/14/1995,28,2.05,51,6.63,48,1.9
Mickey Gall,,7,5,0,187.96,187.96,Switch,1/22/1992,32,2.94,46,1.21,30,1.9
Joe Soto,One Bad Mofo,18,7,0,167.64,165.1,Orthodox,3/22/1987,37,3.36,41,0.85,21,1.9
Austin Vanderford,AK-47,4,0,0,180.34,,Orthodox,3/21/1990,34,3.9,52,0,0,1.9
Pat Sabatini,,18,5,0,172.72,177.8,Orthodox,11/9/1990,33,2.02,59,3.73,42,1.9
Jessamyn Duke,The Gun,3,5,0,180.34,185.42,Orthodox,6/24/1986,38,4.83,53,1.27,36,1.9
Ryan Jensen,,21,8,0,185.42,193.04,Orthodox,9/20/1977,47,2.84,39,1.55,50,1.9
Roman Mitichyan,,8,3,0,177.8,,Orthodox,9/4/1978,46,0.26,16,1.93,100,1.9
Georgi Karakhanyan,Insane,26,7,1,172.72,,,,,4.49,39,1.41,50,1.9
Brad Mitchell,,4,2,0,180.34,,,,,1.15,33,0,0,1.9
Ikuhisa Minowa,Minowaman,60,42,8,175.26,,Orthodox,1/12/1976,48,0.88,40,1.82,41,1.9
Joachim Hansen,Hellboy,23,14,1,170.18,,Southpaw,5/26/1979,45,2.01,43,2.21,58,1.9
Jordan Griffin,Native Psycho,18,9,0,177.8,185.42,Southpaw,2/28/1990,34,2.52,46,1.45,35,1.9
Jon Delos Reyes,The Heat,8,5,0,167.64,170.18,Orthodox,8/19/1987,37,2.99,38,3.2,83,1.9
Luke Stewart,,6,3,0,180.34,,Orthodox,,,3.75,56,3.75,33,1.9
Vagner Rocha,Ceara,14,4,0,177.8,185.42,Orthodox,6/6/1982,42,2.64,42,1.4,33,1.9
Kyle Daukaus,,11,4,0,190.5,193.04,Southpaw,2/27/1993,31,3.22,52,2.12,25,1.9
Fedor Emelianenko,The Last Emperor,36,5,0,182.88,187.96,Orthodox,9/28/1976,48,3.18,51,2,63,1.9
Stephen Banaszak,,5,5,0,182.88,,,,,4.2,47,0,0,1.9
Rani Yahya,,28,11,1,167.64,170.18,Orthodox,9/12/1984,40,1.59,37,2.86,32,1.9
Erick Wanderlei,,3,3,0,185.42,,Orthodox,,,0.63,41,3.8,66,1.9
Shane Roller,,11,7,0,177.8,182.88,Orthodox,7/14/1979,45,2.04,34,2.46,33,1.9
Aleksei Oleinik,The Boa Constrictor,60,17,1,187.96,203.2,Orthodox,6/20/1977,47,3.29,48,1.82,46,1.9
Ryan Quinn,,13,7,1,172.72,,,,,2.31,41,0,0,1.9
Keisuke Sasu,Sasuke,11,3,1,165.1,175.26,Switch,9/30/1994,30,2.76,49,3.76,40,1.9
Don Shainis,Shameless,12,5,0,167.64,170.18,Orthodox,9/16/1990,34,3.42,50,0.97,25,1.9
Dan Argueta,The Determined,9,2,0,170.18,172.72,Southpaw,8/13/1993,31,2.35,47,2.54,50,1.9
Jeremy  Freitag,,6,10,0,185.42,,,,,0,0,0,0,1.9
Raul Rosas Jr.,El Nino Problema,8,1,0,175.26,170.18,Switch,10/8/2004,20,1.28,44,3.57,33,1.8
Rodolfo Marques Diniz,,23,9,1,167.64,,,,,1.08,32,0,0,1.8
Miguel Baeza,Caramel Thunder,10,3,0,187.96,187.96,Orthodox,8/23/1992,32,4.88,49,0.44,28,1.8
Joe Proctor,,11,5,0,177.8,182.88,Orthodox,8/10/1985,39,3.39,36,0,0,1.8
Luc Bondole,,5,2,2,187.96,,,,,3.35,51,0,0,1.8
Amanda Cooper,ABC,3,5,0,160.02,162.56,Switch,10/22/1991,33,3.55,44,1.53,38,1.8
Juliana Miller,Killer,4,3,0,170.18,167.64,Orthodox,5/7/1996,28,3.31,45,1.84,44,1.8
Louis Smolka,Da Last Samurai,17,9,0,175.26,172.72,Orthodox,7/16/1991,33,4.67,47,1.69,35,1.8
Assuerio Silva,,16,8,0,177.8,,Orthodox,6/18/1974,50,1.42,46,2.66,34,1.8
Johnny Munoz,Kid Kvenbo,12,4,0,175.26,180.34,Orthodox,2/16/1993,31,2.44,36,2.4,25,1.8
Jake Rosholt,,12,5,0,185.42,,Orthodox,2/9/1982,42,2.68,53,6.51,68,1.8
Sanae Kikuta,,31,9,3,175.26,,Orthodox,9/10/1971,53,0.7,45,1.6,63,1.8
Eric Schafer,Red,14,8,2,190.5,193.04,Orthodox,9/20/1977,47,1.89,34,1.81,36,1.8
Dan Miller,,14,8,0,185.42,187.96,Orthodox,6/30/1981,43,2.03,36,1.67,54,1.8
Jim Miller,A-10,36,17,0,172.72,180.34,Southpaw,8/30/1983,41,2.86,41,1.56,43,1.8
Jesus Aguilar,,9,2,0,162.56,157.48,Orthodox,3/13/1996,28,1.69,49,2.72,37,1.8
Alex Serdyukov,The Russian Crusher,8,5,0,187.96,187.96,Orthodox,5/24/1980,44,4.94,48,1.84,55,1.8
Brian Foster,The Foster Boy,27,10,0,175.26,180.34,Orthodox,4/3/1984,40,3.3,39,3.67,60,1.8
Lee Murray,Lightning,8,2,1,190.5,,Orthodox,9/12/1977,47,0.36,15,0.9,100,1.8
Blas Avena,The Disciple,8,7,0,182.88,187.96,Orthodox,6/30/1983,41,2.34,47,2.37,80,1.8
Joe Pyfer,Bodybagz,12,2,0,187.96,190.5,Orthodox,9/17/1996,28,3.64,45,2.97,83,1.8
Sam Spengler,The Ram,9,5,0,180.34,,Orthodox,,,3.27,62,1.75,11,1.8
Cole Miller,Magrinho,21,11,0,185.42,185.42,Orthodox,4/26/1984,40,3,33,0.6,36,1.8
Casey Olson,The Underdog,14,5,0,170.18,,Orthodox,,,2.48,60,3.54,57,1.8
Daniel Pineda,The Pit,28,15,0,170.18,175.26,Orthodox,8/6/1985,39,3.09,49,1.71,25,1.7
Kendall Grove,Da Spyder,23,17,0,198.12,200.66,Orthodox,11/12/1982,41,2.31,41,0.49,45,1.7
Danillo Villefort,Indio,15,5,0,185.42,,Orthodox,5/8/1983,41,2.86,37,1.71,66,1.7
Karlos Vemola,,17,5,0,182.88,190.5,Orthodox,7/3/1985,39,1.67,44,1.93,25,1.7
Jose Palacios,,3,2,0,175.26,,Orthodox,,,2.67,70,0,0,1.7
Cristina Stanciu,Barbie,5,2,0,160.02,,Orthodox,3/29/1994,30,2.5,50,0.85,100,1.7
Tom Aspinall,,14,3,0,195.58,198.12,Orthodox,4/11/1993,31,7.72,66,3.46,100,1.7
Dean Hancock,The Hammer,2,1,0,,,,,,7.97,63,1.71,33,1.7
Nassourdine Imavov,,12,4,0,190.5,190.5,Orthodox,3/1/1995,29,4.55,53,1.09,31,1.7
Roman Dolidze,,12,2,0,187.96,193.04,Orthodox,7/15/1988,36,3.02,44,1.72,50,1.7
Brendan Allen,All In,23,5,0,187.96,190.5,Orthodox,12/28/1995,28,3.87,54,1.36,47,1.7
Steve Berger,The Red Nosed Pitbull,21,23,2,180.34,,Orthodox,5/20/1973,51,1,27,0.84,40,1.7
David Zawada,Sagat,17,7,0,182.88,190.5,Orthodox,8/1/1990,34,3.84,41,0.97,33,1.7
Kin Moy,Kong,8,3,0,165.1,,,,,2.3,33,1.67,42,1.7
Erisson Ferreira,Gato,12,2,0,167.64,177.8,Orthodox,5/3/1991,33,1.75,32,1.11,100,1.7
Billy Giovanella,Wolverine,9,5,0,172.72,,,,,1.27,40,0.87,12,1.7
Charlene Gellner,Princess,0,4,0,157.48,,,,,2.01,42,0,0,1.7
Stefan Struve,Skyscraper,33,13,0,210.82,213.36,Orthodox,2/18/1988,36,3.12,47,0.56,46,1.7
Donny Walker,Eagle Eye,15,10,0,175.26,,,,,1.81,37,0,0,1.7
Jason Knight,The Kid,20,5,0,177.8,180.34,Orthodox,7/14/1992,32,2.95,33,1.31,31,1.7
Cole Smith,The Cole Train,7,2,0,180.34,170.18,Orthodox,4/5/1989,35,1.78,35,1.67,33,1.7
Misha Cirkunov,,15,9,0,190.5,195.58,Orthodox,2/27/1987,37,3.86,51,4.15,39,1.7
Ralek Gracie,,3,1,0,187.96,,Orthodox,10/4/1985,39,1.61,46,2.5,75,1.7
Kazushi Sakuraba,The Gracie Hunter,26,17,1,182.88,,Southpaw,7/14/1969,55,1.26,41,1.26,31,1.7
Dustin Neace,The Beast,25,21,1,175.26,,,,,2.08,32,0,0,1.7
Claude Patrick,The Prince,14,2,0,180.34,190.5,Orthodox,6/14/1980,44,1.8,55,2.32,53,1.7
Simeon Thoresen,The Grin,17,6,1,185.42,200.66,Orthodox,3/14/1984,40,3.85,43,1.12,40,1.7
Cody Donovan,Donnybrook,8,5,0,190.5,187.96,Orthodox,2/20/1981,43,5.61,59,1.67,28,1.7
Carlo Prater,Neo,31,18,1,180.34,182.88,Switch,6/25/1981,43,2.03,47,0.43,9,1.7
Damon Jackson,The Leech,22,6,1,180.34,180.34,Switch,8/8/1988,36,3.02,40,2.44,34,1.6
Gina Carano,Conviction,7,1,0,172.72,,Orthodox,4/16/1982,42,4.5,47,1.24,66,1.6
Bobby Nash,,8,4,0,182.88,187.96,Orthodox,3/26/1990,34,3.42,37,2.37,33,1.6
Paulo Filho,,23,6,3,172.72,,Southpaw,5/24/1978,46,1.86,48,2.4,32,1.6
Roland Delorme,,9,5,0,175.26,180.34,Orthodox,12/18/1983,40,2.28,44,2.51,34,1.6
Myktybek Orolbai,,12,1,1,177.8,187.96,Orthodox,2/10/1998,26,0.87,40,11.41,70,1.6
Daniel Barez,,16,6,0,167.64,167.64,Orthodox,12/10/1988,35,3.8,53,4.07,31,1.6
Mateusz Rebecki,,18,1,0,170.18,167.64,Southpaw,11/3/1992,31,5.31,53,4.16,72,1.6
Miguel Torres,,44,9,0,175.26,193.04,Orthodox,1/18/1981,43,3.98,43,0,0,1.6
George Sotiropoulos,,14,7,0,177.8,180.34,Orthodox,7/9/1977,47,2.61,27,2.32,31,1.6
Deiveson Figueiredo,Deus da Guerra,22,3,1,165.1,172.72,Orthodox,12/18/1987,36,3.08,55,1.65,44,1.6
Dan Bobish,,17,9,0,187.96,,Southpaw,1/26/1970,54,2.06,44,2.44,42,1.6
Chris Wilson,The Professor,18,10,0,185.42,190.5,Orthodox,6/7/1977,47,2.32,50,1.31,50,1.6
Jess Liaudin,The Joker,20,11,0,175.26,182.88,Orthodox,,,2.46,51,3.28,53,1.6
Kestutis Smirnovas,,24,8,2,177.8,,Orthodox,,,4.95,52,1.55,50,1.6
Marcio Cruz,Pe de Pano,8,3,0,193.04,,Orthodox,4/24/1978,46,2.92,46,0.53,7,1.6
Paul Craig,Bearjew,17,7,1,190.5,193.04,Orthodox,11/27/1987,36,2.42,46,1.76,22,1.6
Neil Seery,2Tap,16,13,0,162.56,162.56,Orthodox,8/30/1979,45,3.56,41,0.78,27,1.6
Ryuta Sakurai,,24,24,6,170.18,,Orthodox,,,1.8,48,0.52,100,1.6
Shane Nelson,Sugar,16,7,0,175.26,177.8,Southpaw,11/29/1984,39,1.38,31,1.31,18,1.6
Steven Siler,Super,29,16,0,180.34,177.8,Orthodox,2/15/1987,37,3.21,41,0.47,21,1.6
Bryce Mitchell,Thug Nasty,16,2,0,177.8,177.8,Southpaw,10/4/1994,30,2.34,58,3.51,41,1.6
Marcus McGhee,The Maniac,8,1,0,172.72,175.26,Orthodox,5/7/1990,34,3.42,48,0,0,1.6
Eiji Mitsuoka,,18,9,2,170.18,,Southpaw,1/1/1976,48,1.49,49,2.3,36,1.6
Jamie Colleen,,4,1,0,160.02,165.1,Orthodox,11/2/1985,38,3.11,61,0.52,33,1.6
Mayra Bueno Silva,Sheetara,10,2,1,167.64,167.64,Orthodox,8/22/1991,33,4.16,54,0.35,50,1.6
Rafaello Oliveira,Tractor,17,8,0,172.72,180.34,Orthodox,1/26/1982,42,2.19,33,2.49,36,1.6
Caio Magalhaes,Hellboy,10,3,0,185.42,185.42,Orthodox,12/14/1987,36,2.27,40,1.05,15,1.6
Satoshi Ishii,,15,8,1,180.34,,Orthodox,12/19/1986,37,1.41,36,3.47,52,1.6
Justin James,,13,7,0,177.8,,Orthodox,11/8/1976,47,1.34,36,0,0,1.6
Jerrod Sanders,J-Reazie,16,3,0,172.72,182.88,Orthodox,10/1/1979,45,0.88,64,2.2,33,1.6
Saimon Oliveira,,18,5,0,162.56,182.88,Orthodox,4/21/1991,33,2.82,41,1.21,25,1.6
Fabricio Camoes,Morango,14,9,1,177.8,180.34,Orthodox,12/23/1978,45,1.29,33,2.34,32,1.5
Pawel Nastula,,5,6,0,182.88,,Southpaw,6/26/1970,54,1.3,43,3,60,1.5
Shavkat Rakhmonov,Nomad,17,0,0,185.42,195.58,Orthodox,10/23/1994,30,4.45,59,1.49,33,1.5
Dileno Lopes,,19,3,0,165.1,,,,,2.37,36,2.5,31,1.5
Mike Pyle,Quicksand,27,14,1,182.88,187.96,Orthodox,9/18/1975,49,2.74,45,1.8,35,1.5
Thomas Denny,The Wildman,27,21,1,177.8,,Orthodox,4/19/1971,53,2.36,45,1.48,17,1.5
Matt Veach,,17,5,0,180.34,,Orthodox,5/31/1981,43,1.12,28,3.64,38,1.5
Bu-Kyung Jung,,0,4,0,170.18,,Orthodox,5/26/1978,46,0.63,36,1.1,75,1.5
Ryan Spann,Superman,21,9,0,195.58,200.66,Orthodox,8/24/1991,33,3.42,40,1.29,35,1.5
Godofredo Pepey,,13,6,0,170.18,185.42,Orthodox,7/2/1987,37,2.32,38,0.37,7,1.5
Gerald Meerschaert,GM3,35,17,0,185.42,195.58,Southpaw,12/18/1987,36,3.3,44,2.01,37,1.5
Max Rohskopf,Rated R,5,1,0,185.42,180.34,Orthodox,9/27/1994,30,1.7,31,3,33,1.5
Joe Solecki,,13,4,0,175.26,177.8,Orthodox,8/27/1993,31,2.21,56,2.65,50,1.5
Javier Vazquez,Showtime,16,5,0,170.18,175.26,Southpaw,7/16/1977,47,2.43,36,2.56,52,1.5
Chris Indich,,6,4,0,177.8,,,,,1.31,30,0.75,50,1.5
Gavin Tucker,Guv'nor,13,3,0,167.64,167.64,Southpaw,6/17/1986,38,4.29,44,3.13,44,1.5
Mike Malott,Proper,10,1,1,185.42,185.42,Orthodox,11/7/1991,32,4.21,42,2.53,55,1.5
Oskar Piechota,Imadlo,11,3,1,182.88,193.04,Southpaw,1/24/1990,34,3.3,52,0.61,40,1.5
Jason Von Flue,Live Wire,14,12,1,182.88,,Orthodox,8/1/1975,49,1.89,36,0.62,16,1.5
Tony DeSouza,,11,4,0,182.88,177.8,Southpaw,7/26/1974,50,1.12,52,2.25,42,1.5
Ilia Topuria,El Matador,14,0,0,170.18,175.26,Orthodox,1/21/1997,27,4.44,46,2.19,56,1.5
Ryuki Ueyama,,12,18,5,180.34,,Southpaw,4/17/1976,48,0.13,21,0.5,100,1.5
Charles Byrd,Kid Dynamite,10,7,0,177.8,185.42,Orthodox,10/11/1983,41,3.43,55,2.5,50,1.5
Teemu Packalen,Pacu,8,3,0,185.42,190.5,Orthodox,5/22/1987,37,2.57,54,2.31,25,1.5
Rafael Alves,The Turn,20,12,0,172.72,172.72,Orthodox,11/14/1990,33,1.85,48,0.29,25,1.5
Thiago Tavares,,21,7,1,170.18,177.8,Orthodox,11/8/1984,39,2,40,3.83,42,1.5
Andre Muniz,Sergipano,23,6,0,185.42,198.12,Southpaw,2/17/1990,34,2.17,50,2.97,40,1.5
Matt Wiman,,16,10,0,177.8,172.72,Orthodox,9/19/1983,41,3.17,50,2.13,37,1.5
Patrick Walsh,The Beast of the East,10,3,0,180.34,,,,,2.03,19,3,54,1.5
Michihiro Omigawa,,17,14,1,167.64,172.72,Orthodox,12/19/1975,48,2.01,39,1.19,36,1.5
Paul Kelly,,14,5,0,175.26,177.8,Orthodox,9/12/1984,40,3.22,37,1.34,60,1.5
Grant Dawson,KGD,20,2,1,177.8,182.88,Switch,2/20/1994,30,2.97,51,3.68,36,1.5
Gadzhimurad Antigulov,,20,8,0,180.34,177.8,Orthodox,2/9/1987,37,2.08,55,5.08,36,1.4
Said Nurmagomedov,,18,3,0,172.72,177.8,Orthodox,4/5/1992,32,3.55,47,1.01,16,1.4
Brian Bowles,,10,3,0,170.18,177.8,Orthodox,6/22/1980,44,2.36,26,1.39,70,1.4
Dokonjonosuke Mishima,,21,7,2,170.18,,Southpaw,4/19/1972,52,1.06,41,2.47,40,1.4
Luke Cummo,,6,6,0,182.88,187.96,Orthodox,4/27/1980,44,1.74,43,0.89,55,1.4
Joe Taimanglo,The Juggernaut,23,7,1,162.56,,,,,4.18,42,5.45,40,1.4
Terry Etim,,16,5,0,185.42,185.42,Orthodox,1/11/1986,38,2.16,35,0.43,30,1.4
Bobby Moffett,The Wolfman,13,5,0,177.8,185.42,Orthodox,6/1/1990,34,3.41,39,2.74,66,1.4
Josh Barnett,The Warmaster,35,8,0,190.5,198.12,Orthodox,11/10/1977,46,3.2,50,1.26,55,1.4
Mackenzie Dern,,13,4,0,162.56,160.02,Orthodox,3/24/1993,31,3.49,40,0.77,14,1.4
Chel Erwin-Davis,The First Sun,5,1,0,182.88,,,,,4.06,54,4.25,100,1.4
Colton Smith,,7,4,0,182.88,180.34,Orthodox,8/14/1987,37,1.64,41,4.09,36,1.4
Tony Kelley,Primetime,8,3,0,175.26,177.8,Switch,1/21/1987,37,5.55,47,0,0,1.4
Darrell Montague,Mongoose,13,5,0,167.64,170.18,Southpaw,11/3/1987,36,1.92,25,0.72,25,1.4
Rodolfo Vieira,,9,2,0,182.88,185.42,Orthodox,9/25/1989,35,3.36,54,3.7,26,1.4
Carlos Eduardo Rocha,Ta Danado,9,4,0,177.8,185.42,Orthodox,7/12/1981,43,1.24,34,0,0,1.4
Tom Lawlor,Filthy,10,6,0,182.88,187.96,Southpaw,5/15/1983,41,2.5,42,2.46,32,1.4
Michael McDonald,Mayday,17,4,0,175.26,177.8,Orthodox,1/15/1991,33,2.69,42,1.09,66,1.4
Walel Watson,The Gazelle,14,10,0,180.34,190.5,Orthodox,7/16/1984,40,2.1,29,0,0,1.4
Mike Massenzio,The Master of Disaster,13,9,0,187.96,185.42,Southpaw,11/1/1982,41,2.08,45,2.74,24,1.4
Roan Carneiro,Jucao,21,11,0,180.34,193.04,Orthodox,6/2/1978,46,1.46,46,3.05,42,1.4
Hector Sandoval,Kid Alex,14,4,0,157.48,162.56,Orthodox,7/19/1986,38,3.31,52,3.49,25,1.4
Mario Sperry,Zen Machine,13,4,0,187.96,,Orthodox,9/28/1966,58,2.81,52,2.09,42,1.4
Livinha Souza,The Brazilian Gangsta,14,4,0,160.02,160.02,Orthodox,3/11/1991,33,1.75,45,2.54,45,1.4
Nikita Krylov,The Miner,30,9,0,190.5,195.58,Orthodox,3/7/1992,32,4.38,55,2.29,38,1.4
Robert McDaniel,Bubba,28,10,0,190.5,190.5,Southpaw,5/3/1983,41,1.64,44,0.93,50,1.4
Jason Dent,Dynamite,22,13,0,177.8,180.34,Orthodox,6/12/1980,44,2.01,39,0,0,1.4
Fernando Gonzalez,The Menifee Maniac,26,14,0,175.26,172.72,Southpaw,9/15/1983,41,4.47,47,0.86,33,1.4
Yaotzin Meza,,21,11,0,175.26,180.34,Orthodox,2/4/1981,43,1.43,41,1.06,20,1.4
Kengo Ura,Uraken,14,12,2,175.26,,,,,1.05,37,2.85,28,1.4
Jimy Hettes,The Kid,11,3,0,175.26,180.34,Southpaw,6/9/1987,37,3.47,57,5.2,44,1.4
